iter	Passed	Remaining
0	151	151568
1	152	76046
2	152	50820
3	153	38200
4	154	30714
5	154	25666
6	155	22057
7	156	19349
8	156	17238
9	157	15550
10	157	14173
11	158	13021
12	158	12045
13	159	11210
14	159	10485
15	160	9858
16	160	9301
17	161	8802
18	161	8354
19	162	7953
20	162	7588
21	163	7258
22	163	6956
23	164	6680
24	164	6427
25	165	6194
26	165	5976
27	166	5773
28	166	5585
29	167	5409
30	167	5243
31	168	5090
32	168	4950
33	169	4818
34	170	4689
35	170	4569
36	171	4454
37	171	4345
38	172	4242
39	172	4142
40	173	4049
41	173	3962
42	174	3877
43	174	3794
44	175	3721
45	175	3645
46	176	3573
47	176	3505
48	177	3439
49	178	3382
50	178	3323
51	179	3266
52	179	3213
53	180	3158
54	180	3108
55	181	3059
56	182	3011
57	182	2964
58	183	2919
59	183	2875
60	184	2833
61	184	2792
62	185	2752
63	185	2713
64	187	2690
65	187	2655
66	188	2620
67	188	2586
68	189	2552
69	189	2520
70	190	2488
71	190	2456
72	191	2427
73	191	2397
74	192	2368
75	192	2342
76	193	2317
77	193	2292
78	194	2265
79	194	2241
80	195	2216
81	195	2192
82	196	2167
83	196	2144
84	197	2121
85	197	2100
86	198	2080
87	198	2059
88	199	2040
89	199	2019
90	200	2000
91	200	1980
92	201	1962
93	201	1944
94	202	1926
95	202	1909
96	203	1892
97	203	1875
98	204	1859
99	204	1843
100	205	1828
101	206	1814
102	206	1799
103	207	1784
104	207	1769
105	207	1754
106	208	1739
107	208	1725
108	209	1711
109	209	1697
110	210	1684
111	210	1670
112	211	1658
113	211	1646
114	212	1635
115	213	1623
116	213	1610
117	213	1598
118	214	1588
119	215	1577
120	215	1566
121	215	1554
122	216	1543
123	217	1533
124	217	1522
125	218	1513
126	218	1504
127	219	1494
128	219	1484
129	220	1475
130	220	1465
131	221	1456
132	221	1446
133	222	1439
134	223	1430
135	223	1421
136	224	1414
137	225	1407
138	225	1399
139	226	1390
140	226	1382
141	227	1372
142	227	1364
143	228	1357
144	229	1350
145	229	1342
146	230	1334
147	230	1327
148	231	1321
149	232	1315
150	232	1308
151	233	1301
152	233	1293
153	234	1286
154	234	1280
155	235	1273
156	236	1267
157	236	1262
158	237	1256
159	238	1249
160	238	1242
161	238	1236
162	239	1229
163	240	1223
164	240	1217
165	241	1211
166	241	1206
167	242	1200
168	243	1195
169	243	1190
170	244	1184
171	244	1178
172	245	1173
173	246	1169
174	247	1164
175	247	1160
176	248	1155
177	249	1151
178	250	1146
179	250	1141
180	251	1136
181	251	1132
182	252	1127
183	253	1123
184	253	1118
185	254	1114
186	255	1110
187	256	1105
188	256	1102
189	257	1097
190	257	1092
191	258	1087
192	258	1082
193	259	1078
194	260	1074
195	260	1070
196	261	1066
197	262	1061
198	262	1057
199	263	1053
200	264	1049
201	264	1045
202	265	1041
203	265	1036
204	266	1032
205	266	1028
206	267	1023
207	268	1020
208	268	1017
209	269	1014
210	270	1010
211	270	1006
212	271	1002
213	271	998
214	272	994
215	273	991
216	273	988
217	274	984
218	274	980
219	275	977
220	276	973
221	276	970
222	277	967
223	278	963
224	278	960
225	279	957
226	280	954
227	281	951
228	281	948
229	282	944
230	282	941
231	283	937
232	283	934
233	284	931
234	285	928
235	285	925
236	286	922
237	287	919
238	287	916
239	288	913
240	289	910
241	289	907
242	290	904
243	291	901
244	291	898
245	292	895
246	292	892
247	293	889
248	293	886
249	294	883
250	295	881
251	295	878
252	296	875
253	297	872
254	297	869
255	298	866
256	298	863
257	299	861
258	300	858
259	300	856
260	301	853
261	302	851
262	302	848
263	303	845
264	303	843
265	304	840
266	305	837
267	305	835
268	306	832
269	306	829
270	307	827
271	308	825
272	308	822
273	309	819
274	309	817
275	310	814
276	311	813
277	312	811
278	313	809
279	313	807
280	314	804
281	315	802
282	315	800
283	316	797
284	317	795
285	317	793
286	318	790
287	319	788
288	319	786
289	320	784
290	320	781
291	321	779
292	322	777
293	322	775
294	323	772
295	324	770
296	324	768
297	325	766
298	325	764
299	326	762
300	327	760
301	328	758
302	328	756
303	329	754
304	330	752
305	330	750
306	331	748
307	332	746
308	332	744
309	333	742
310	334	740
311	334	738
312	335	735
313	335	733
314	336	731
315	337	730
316	338	728
317	338	726
318	339	724
319	339	722
320	340	719
321	340	717
322	341	715
323	342	713
324	342	712
325	343	710
326	344	708
327	344	706
328	345	704
329	346	702
330	346	700
331	347	698
332	347	696
333	348	695
334	349	693
335	349	691
336	350	689
337	350	687
338	351	685
339	352	683
340	352	681
341	353	679
342	353	677
343	354	676
344	355	674
345	355	672
346	356	671
347	357	669
348	357	667
349	358	665
350	358	663
351	359	661
352	359	659
353	360	658
354	361	656
355	362	655
356	362	653
357	363	652
358	364	650
359	364	648
360	365	646
361	366	645
362	366	643
363	367	642
364	368	640
365	368	639
366	369	637
367	370	635
368	370	634
369	371	632
370	372	631
371	373	629
372	374	628
373	374	627
374	375	625
375	376	624
376	376	622
377	377	621
378	378	619
379	378	618
380	379	616
